MAXUNITS100000
MAXPROJECTILES800
MAPSIZE400
PATHFINDINGTHEADS2
PROCESSINGTHEADS20
FPS,1e+06,4.29207,4.50704,4.98172,4.86239,4.07805,4.69426,4.16297,4.49517,4.48366,4.85293,4.93869,4.46913,4.46768,4.70577,4.65164,4.75842,4.52376,4.74284,5.11585,4.98375,4.63132,4.5218,5.01424,4.94108,4.74064,4.56346,4.7335,4.41371,4.14285,4.20276,4.64526,4.86464,4.94237,4.27423,4.74289,5.00716,5.07105,4.73729,4.71045,5.19713,4.99184,4.23585,3.60176,4.46004,4.46213,4.46269,4.77391,4.5024,4.5678,4.65153,5.12847,4.49133,4.94748,4.56727,4.78918,4.28576,4.33836,4.77423,4.20819,4.66967,5.05513,4.58629,5.02869,5.14663,5.07552,5.07738,4.35768,4.5436,4.51771,4.7946,4.57417,4.39103,5.43812,5.04569,4.89918,4.2192,4.50231,4.68698,4.95025,4.21758,5.05119,4.8107,4.4377,4.93852,4.84574,4.97399,4.99525,5.00027,5.0194,4.71691,4.26437,3.97387,4.75724,5.17301,4.66758,5.30476,5.08187,4.27879,4.45993,5.53808,4.7338,5.07648,5.03943,4.83022,4.32814,4.89495,4.94775,4.93476,4.93357,4.88517,5.0039,4.84437,4.03543,5.0677,5.0116,4.75019,4.16462,4.77229,4.30187,4.50337,5.23832,4.69728,4.48527,4.80284,5.05089,4.61089,4.92739,4.67464,4.60441,5.12686,4.89872,4.64063,4.53793,4.70677,4.649,5.14062,4.5417,5.04752,3.35507,4.34569,4.2449,4.55102,5.23796,4.59648,4.94555,4.48817,4.4379,4.78831,5.12321,4.25056,4.41921,4.02826,4.60832,4.48499,4.78007,4.74854,4.91632,4.82134,4.75516,4.39446,4.4069,4.54924,4.63265,4.7737,4.90292,4.54395,5.24915,4.70216,4.65638,5.24224,4.3507,5.10254,3.97452,4.53243,5.20915,4.74883,5.08531,4.03757,5.01432,4.60626,4.93781,4.44506,4.70976,4.93566,4.8821,5.03259,4.97438,4.97616,4.42746,4.3623,4.79879,4.81591,4.917,5.06693,4.92936,4.35322,5.12198,4.51751,4.44024,4.90906,4.91449,5.05758,4.6255,4.9898,4.65556,4.6441,4.67043,4.23496,5.10848,4.35491,4.43644,5.27769,4.78338,5.26158,4.4418,4.34631,4.23372,4.98736,4.91804,4.76699,4.7725,4.73095,4.86034,4.67642,4.77015,4.8826,5.03418,4.69742,4.60009,4.55344,4.80922,4.62535,4.91265,4.70464,4.86753,4.87498,4.6298,4.66503,4.18354,4.15915,4.49838,5.01658,5.06683,4.92861,4.45284,4.6006,4.71823,4.72282,5.07996,4.76906,5.03649,4.13435,4.64044,5.18226,4.77359,4.64076,5.04584,4.75357,4.58419,5.0387,5.0616,4.4179,4.81109,4.97384,4.67202,4.31768,4.8615,4.46526,4.45607,4.79545,4.92691,4.92761,4.67067,4.8811,5.06206,4.51202,5.07151,4.73079,4.96019,4.53817,3.09362,4.73803,4.96396,4.94237,5.12311,4.7083,4.69433,4.84236,4.91333,4.84322,4.86273,4.63089,4.3342,4.58615,4.87643,5.14798,4.22533,4.40855,5.01183,4.87738,4.60318,3.5859,4.96133,4.97431,3.46145,5.26582,4.74311,5.1297,5.04154,5.15018,4.83629,4.60314,4.94885,3.74515,4.39016,4.73579,4.90687,4.745,4.96118,4.87296,4.14828,4.66061,4.71453,5.03089,4.90372,4.80015,4.89718,4.86554,5.22171,4.74129,4.70852,4.77174,4.97636,4.70146,4.95543,4.83903,4.58764,5.05272,4.43486,5.01711,5.20771,4.87629,4.35851,4.31298,4.8088,4.93976,5.09264,5.06657,4.93632,4.56721,4.8033,5.04421,4.8826,4.31602,4.76299,4.84322,4.31155,4.20426,5.38091,5.50558,4.52262,4.91768,4.5644,4.30004,4.63714,4.84421,4.27537,4.97532,4.33257,5.25069,4.68358,4.75536,4.88014,4.87498,4.91918,5.02621,4.89812,4.31665,5.24343,4.65988,5.29574,4.67331,5.004,4.99983,4.29531,5.21986,4.60522,4.72655,4.67486,4.69625,4.9457,5.05398,4.55703,4.67491,5.03959,4.78535,5.72974,4.83594,5.30324,4.3514,4.31861,4.84515,4.14274,5.14096,4.35343,5.06914,4.37474,4.86597,5.02127,4.82362,4.47722,4.72498,5.10691,4.05444,5.03806,5.2011,4.67475,5.10965,5.12038,4.81253,4.086,4.47483,4.99321,4.92841,5.12295,4.59734,4.95896,4.44168,4.73236,4.83739,4.54238,4.6049,5.03796,4.54067,4.79538,4.10961,4.78728,4.88728,4.56949,4.41374,5.04549,4.74744,4.50229,5.03502,4.56211,4.54597,5.26954,5.03241,4.33952,4.81385,5.13532,4.24445,4.9381,4.61646,4.93179,3.97229,3.6343,4.10176,4.41712,5.09054,5.17529,4.68036,4.04249,4.99476,5.02609,4.98427,5.13278,4.76467,4.64902,4.61114,4.78716,5.18581,4.78907,4.79722,5.31367,5.00648,4.50865,4.73303,5.05084,4.98125,4.40696,4.62355,5.08016,4.74149,4.44597,5.10256,5.02475,4.8618,4.79623,4.8486,4.37526,4.40436,5.12955,4.7221,4.91937,5.03553,5.12923,5.35828,5.00551,4.48926,4.93128,4.4975,5.6803,4.46482,4.63661,4.75857,4.72681,5.09965,4.88069,5.03066,5.13898,5.02674,4.43508,4.06739,4.97718,4.38916,5.02021,5.33766,5.14319,4.48535,4.51516,5.38921,4.95194,4.87938,4.87277,5.08109,4.53116,4.90381,4.43646,5.10381,4.68377,5.07228,4.89019,4.85267,4.59766,4.4612,5.21241,4.70509,4.00554,4.52899,4.68121,4.28299,5.11177,4.87543,4.99134,4.59263,4.79897,4.5455,4.82146,4.63876,4.92713,4.93226,4.45428,4.8308,4.3123,4.75887,4.76336,4.76644,4.40678,4.50193,4.64052,4.67946,4.69488,4.16252,5.55136,4.68727,3.26499,4.87936,4.68362,4.94464,4.79844,4.8266,4.94675,4.87092,5.19888,4.73191,4.18804,4.78235,5.08536,5.14986,4.2009,4.43971,4.83882,4.97545,4.94374,5.16732,4.68338,4.8975,4.8448,4.78169,4.21047,4.8703,5.28095,5.13743,5.0296,4.88773,4.5286,4.91128,4.3947,4.43486,4.96865,4.78053,5.15666,4.55305,4.49014,4.78833,4.64147,4.69715,4.4255,4.40657,4.6039,4.19637,3.98729,4.66527,5.59353,5.41483,5.14692,4.25838,4.6164,4.96226,4.82176,5.35966,4.71216,5.01326,4.4937,4.9502,5.09012,4.75733,5.26003,4.68066,5.44153,4.8236,5.22144,5.0573,5.11839,4.59424,5.06963,5.07022,4.7368,4.59261,4.99269,4.63446,4.82791,5.32652,4.76569,4.51196,4.47828,4.70799,4.74433,4.67788,5.30757,5.25699,4.86029,4.92269,4.34834,5.18221,4.89237,3.49246,
FPS TimeStamp,855,1079,1301,1501,1707,1952,2165,2406,2628,2851,3057,3260,3483,3707,3920,4135,4345,4566,4777,4972,5173,5389,5610,5809,6012,6223,6442,6653,6880,7121,7359,7574,7780,7982,8216,8427,8627,8824,9035,9247,9440,9640,9876,10154,10378,10602,10826,11036,11258,11477,11692,11887,12109,12311,12530,12739,12972,13203,13412,13650,13864,14062,14280,14479,14673,14870,15067,15297,15517,15738,15947,16165,16393,16577,16775,16979,17216,17438,17652,17854,18091,18289,18497,18722,18924,19131,19332,19532,19732,19931,20143,20378,20629,20840,21033,21247,21436,21632,21866,22090,22271,22482,22679,22878,23085,23316,23520,23722,23925,24127,24332,24532,24738,24986,25184,25383,25594,25834,26043,26276,26498,26689,26902,27125,27333,27531,27748,27951,28164,28382,28577,28781,28996,29217,29429,29644,29839,30059,30257,30555,30785,31021,31241,31431,31649,31851,32074,32299,32508,32703,32939,33165,33413,33630,33853,34062,34273,34476,34684,34894,35122,35349,35568,35784,35994,36198,36418,36608,36821,37036,37226,37456,37652,37904,38125,38316,38527,38724,38971,39171,39388,39590,39815,40028,40230,40435,40634,40835,41036,41262,41491,41699,41907,42110,42308,42511,42740,42936,43157,43382,43586,43789,43987,44203,44404,44618,44834,45048,45284,45480,45709,45935,46124,46333,46523,46749,46979,47215,47415,47619,47828,48038,48249,48455,48669,48879,49083,49282,49495,49712,49932,50140,50356,50560,50772,50978,51183,51399,51613,51852,52092,52315,52514,52711,52914,53139,53356,53568,53780,53977,54187,54385,54627,54842,55035,55245,55460,55659,55869,56087,56286,56483,56709,56917,57118,57332,57564,57770,57994,58218,58427,58630,58833,59047,59251,59449,59671,59868,60079,60281,60501,60824,61035,61237,61439,61634,61847,62060,62266,62470,62676,62882,63098,63329,63547,63752,63946,64183,64410,64609,64814,65031,65310,65512,65713,66002,66192,66402,66597,66796,66990,67197,67414,67616,67883,68111,68322,68526,68737,68938,69143,69384,69599,69811,70010,70214,70422,70626,70832,71023,71234,71447,71656,71857,72070,72272,72478,72696,72894,73120,73319,73511,73716,73945,74177,74385,74588,74784,74981,75184,75403,75611,75809,76014,76246,76456,76662,76894,77132,77318,77500,77721,77924,78143,78376,78591,78798,79032,79233,79464,79654,79867,80078,80283,80488,80691,80890,81094,81326,81517,81731,81920,82134,82334,82534,82767,82958,83175,83387,83601,83814,84016,84214,84433,84647,84846,85055,85229,85436,85624,85854,86086,86292,86534,86728,86958,87155,87384,87589,87788,87996,88219,88431,88626,88873,89072,89264,89478,89673,89869,90077,90321,90545,90745,90948,91143,91361,91562,91788,91999,92206,92426,92643,92841,93062,93270,93513,93722,93927,94146,94372,94571,94781,95003,95202,95421,95641,95831,96030,96260,96468,96662,96898,97101,97317,97520,97772,98047,98291,98517,98713,98907,99120,99368,99568,99767,99968,100162,100372,100587,100804,101013,101206,101415,101623,101811,102011,102233,102444,102642,102843,103070,103286,103483,103694,103919,104115,104314,104519,104728,104934,105163,105390,105585,105797,106000,106198,106393,106580,106780,107003,107205,107428,107604,107828,108043,108254,108465,108661,108866,109065,109259,109458,109684,109930,110131,110358,110558,110745,110939,111162,111384,111569,111771,111976,112182,112378,112599,112803,113028,113224,113438,113635,113839,114045,114263,114487,114679,114892,115141,115362,115576,115809,116005,116210,116410,116628,116836,117056,117264,117479,117682,117885,118109,118316,118548,118759,118968,119178,119405,119627,119843,120056,120269,120510,120690,120903,121209,121414,121628,121830,122039,122246,122448,122653,122846,123057,123296,123505,123701,123896,124134,124359,124566,124767,124969,125162,125376,125580,125786,125996,126233,126438,126628,126822,127021,127226,127447,127650,127878,128103,128305,128514,128708,128927,129150,129359,129574,129787,130013,130240,130457,130696,130946,131161,131340,131524,131718,131953,132170,132371,132579,132765,132978,133177,133400,133602,133798,134008,134198,134412,134596,134803,134995,135192,135388,135605,135803,136000,136211,136429,136629,136845,137052,137240,137450,137671,137895,138107,138318,138531,138720,138910,139116,139319,139549,139742,139946,140233,
